lossy_count memory usage (k=1000)
\begin{tabular}{lllrrr}
\hline
 Word                & isNewWord   & Word Count   &   Delta &   Memory Usage &   \#Buckets \\
\hline
                     &             &              &       0 &             64 &          0 \\
 tragedy             & True        & 1            &       0 &            320 &          1 \\
 romeo               & True        & 1            &       0 &            376 &          2 \\
 juliet              & True        & 1            &       0 &            432 &          3 \\
 william             & True        & 1            &       0 &            488 &          4 \\
 shakespeare         & True        & 1            &       0 &            552 &          5 \\
 contents            & True        & 1            &       0 &            744 &          6 \\
 prologue            & True        & 1            &       0 &            808 &          7 \\
 act                 & True        & 1            &       0 &            864 &          8 \\
 scene               & True        & 1            &       0 &            920 &          9 \\
 public              & True        & 1            &       0 &            976 &         10 \\
 place               & True        & 1            &       0 &           1312 &         11 \\
 scene               & False       & 2            &       0 &           1344 &         11 \\
 ii                  & True        & 1            &       0 &           1400 &         12 \\
 street              & True        & 1            &       0 &           1456 &         13 \\
 scene               & False       & 3            &       0 &           1456 &         13 \\
 iii                 & True        & 1            &       0 &           1512 &         14 \\
 room                & True        & 1            &       0 &           1568 &         15 \\
 capulet’s           & True        & 1            &       0 &           1664 &         16 \\
 house               & True        & 1            &       0 &           1720 &         17 \\
 scene               & False       & 4            &       0 &           1720 &         17 \\
 iv                  & True        & 1            &       0 &           1776 &         18 \\
 street              & False       & 2            &       0 &           1808 &         18 \\
 scene               & False       & 5            &       0 &           1808 &         18 \\
 v                   & True        & 1            &       0 &           1864 &         19 \\
 hall                & True        & 1            &       0 &           1920 &         20 \\
 capulet’s           & False       & 2            &       0 &           1920 &         20 \\
 house               & False       & 2            &       0 &           1920 &         20 \\
 act                 & False       & 2            &       0 &           1920 &         20 \\
 ii                  & False       & 2            &       0 &           1920 &         20 \\
 chorus              & True        & 1            &       0 &           1976 &         21 \\
 scene               & False       & 6            &       0 &           1976 &         21 \\
 open                & True        & 1            &       0 &           2568 &         22 \\
 place               & False       & 2            &       0 &           2568 &         22 \\
 adjoining           & True        & 1            &       0 &           2632 &         23 \\
 capulet’s           & False       & 3            &       0 &           2664 &         23 \\
 garden              & True        & 1            &       0 &           2720 &         24 \\
 scene               & False       & 7            &       0 &           2720 &         24 \\
 ii                  & False       & 3            &       0 &           2720 &         24 \\
 capulet’s           & False       & 4            &       0 &           2752 &         24 \\
 garden              & False       & 2            &       0 &           2752 &         24 \\
 scene               & False       & 8            &       0 &           2752 &         24 \\
 iii                 & False       & 2            &       0 &           2752 &         24 \\
 friar               & True        & 1            &       0 &           2808 &         25 \\
 lawrence’s          & True        & 1            &       0 &           2904 &         26 \\
 cell                & True        & 1            &       0 &           2960 &         27 \\
 scene               & False       & 9            &       0 &           2960 &         27 \\
 iv                  & False       & 2            &       0 &           2960 &         27 \\
 street              & False       & 3            &       0 &           2960 &         27 \\
 scene               & False       & 10           &       0 &           2960 &         27 \\
 v                   & False       & 2            &       0 &           2960 &         27 \\
 capulet’s           & False       & 5            &       0 &           2960 &         27 \\
 garden              & False       & 3            &       0 &           2960 &         27 \\
 scene               & False       & 11           &       0 &           2960 &         27 \\
 vi                  & True        & 1            &       0 &           3016 &         28 \\
 friar               & False       & 2            &       0 &           3016 &         28 \\
 lawrence’s          & False       & 2            &       0 &           3016 &         28 \\
 cell                & False       & 2            &       0 &           3016 &         28 \\
 act                 & False       & 3            &       0 &           3016 &         28 \\
 iii                 & False       & 3            &       0 &           3016 &         28 \\
 scene               & False       & 12           &       0 &           3016 &         28 \\
 public              & False       & 2            &       0 &           3016 &         28 \\
 place               & False       & 3            &       0 &           3016 &         28 \\
 scene               & False       & 13           &       0 &           3016 &         28 \\
 ii                  & False       & 4            &       0 &           3048 &         28 \\
 room                & False       & 2            &       0 &           3048 &         28 \\
 capulet’s           & False       & 6            &       0 &           3048 &         28 \\
 house               & False       & 3            &       0 &           3048 &         28 \\
 scene               & False       & 14           &       0 &           3048 &         28 \\
 iii                 & False       & 4            &       0 &           3048 &         28 \\
 friar               & False       & 3            &       0 &           3048 &         28 \\
 lawrence’s          & False       & 3            &       0 &           3048 &         28 \\
 cell                & False       & 3            &       0 &           3048 &         28 \\
 scene               & False       & 15           &       0 &           3048 &         28 \\
 iv                  & False       & 3            &       0 &           3048 &         28 \\
 room                & False       & 3            &       0 &           3048 &         28 \\
 capulet’s           & False       & 7            &       0 &           3048 &         28 \\
 house               & False       & 4            &       0 &           3048 &         28 \\
 scene               & False       & 16           &       0 &           3048 &         28 \\
 v                   & False       & 3            &       0 &           3048 &         28 \\
 open                & False       & 2            &       0 &           3048 &         28 \\
 gallery             & True        & 1            &       0 &           3104 &         29 \\
 juliet’s            & True        & 1            &       0 &           3200 &         30 \\
 chamber             & True        & 1            &       0 &           3256 &         31 \\
 overlooking         & True        & 1            &       0 &           3320 &         32 \\
 garden              & False       & 4            &       0 &           3320 &         32 \\
 act                 & False       & 4            &       0 &           3320 &         32 \\
 iv                  & False       & 4            &       0 &           3320 &         32 \\
 scene               & False       & 17           &       0 &           3320 &         32 \\
 friar               & False       & 4            &       0 &           3320 &         32 \\
 lawrence’s          & False       & 4            &       0 &           3320 &         32 \\
 cell                & False       & 4            &       0 &           3320 &         32 \\
 scene               & False       & 18           &       0 &           3320 &         32 \\
 ii                  & False       & 5            &       0 &           3352 &         32 \\
 hall                & False       & 2            &       0 &           3352 &         32 \\
 capulet’s           & False       & 8            &       0 &           3352 &         32 \\
 house               & False       & 5            &       0 &           3352 &         32 \\
 scene               & False       & 19           &       0 &           3352 &         32 \\
 iii                 & False       & 5            &       0 &           3352 &         32 \\
 juliet’s            & False       & 2            &       0 &           3352 &         32 \\
 chamber             & False       & 2            &       0 &           3352 &         32 \\
 scene               & False       & 20           &       0 &           3352 &         32 \\
 iv                  & False       & 5            &       0 &           3352 &         32 \\
 hall                & False       & 3            &       0 &           3352 &         32 \\
 capulet’s           & False       & 9            &       0 &           3352 &         32 \\
 house               & False       & 6            &       0 &           3384 &         32 \\
 scene               & False       & 21           &       0 &           3384 &         32 \\
 v                   & False       & 4            &       0 &           3384 &         32 \\
 juliet’s            & False       & 3            &       0 &           3384 &         32 \\
 chamber             & False       & 3            &       0 &           3384 &         32 \\
 juliet              & False       & 2            &       0 &           3384 &         32 \\
 bed                 & True        & 1            &       0 &           3440 &         33 \\
 act                 & False       & 5            &       0 &           3440 &         33 \\
 v                   & False       & 5            &       0 &           3440 &         33 \\
 scene               & False       & 22           &       0 &           3440 &         33 \\
 mantua              & True        & 1            &       0 &           3496 &         34 \\
 street              & False       & 4            &       0 &           3496 &         34 \\
 scene               & False       & 23           &       0 &           3496 &         34 \\
 ii                  & False       & 6            &       0 &           3496 &         34 \\
 friar               & False       & 5            &       0 &           3496 &         34 \\
 lawrence’s          & False       & 5            &       0 &           3496 &         34 \\
 cell                & False       & 5            &       0 &           3496 &         34 \\
 scene               & False       & 24           &       0 &           3496 &         34 \\
 iii                 & False       & 6            &       0 &           3496 &         34 \\
 churchyard          & True        & 1            &       0 &           3560 &         35 \\
 monument            & True        & 1            &       0 &           3624 &         36 \\
 belonging           & True        & 1            &       0 &           3688 &         37 \\
 capulets            & True        & 1            &       0 &           3752 &         38 \\
 dramatis            & True        & 1            &       0 &           3816 &         39 \\
 personæ             & True        & 1            &       0 &           3896 &         40 \\
 escalus             & True        & 1            &       0 &           3952 &         41 \\
 prince              & True        & 1            &       0 &           4008 &         42 \\
 verona              & True        & 1            &       0 &           5160 &         43 \\
 mercutio            & True        & 1            &       0 &           5224 &         44 \\
 kinsman             & True        & 1            &       0 &           5280 &         45 \\
 prince              & False       & 2            &       0 &           5280 &         45 \\
 friend              & True        & 1            &       0 &           5336 &         46 \\
 romeo               & False       & 2            &       0 &           5336 &         46 \\
 paris               & True        & 1            &       0 &           5392 &         47 \\
 young               & True        & 1            &       0 &           5448 &         48 \\
 nobleman            & True        & 1            &       0 &           5512 &         49 \\
 kinsman             & False       & 2            &       0 &           5512 &         49 \\
 prince              & False       & 3            &       0 &           5512 &         49 \\
 page                & True        & 1            &       0 &           5568 &         50 \\
 paris               & False       & 2            &       0 &           5568 &         50 \\
 montague            & True        & 1            &       0 &           5632 &         51 \\
 head                & True        & 1            &       0 &           5688 &         52 \\
 veronese            & True        & 1            &       0 &           5752 &         53 \\
 family              & True        & 1            &       0 &           5808 &         54 \\
 feud                & True        & 1            &       0 &           5864 &         55 \\
 capulets            & False       & 2            &       0 &           5864 &         55 \\
 lady                & True        & 1            &       0 &           5920 &         56 \\
 montague            & False       & 2            &       0 &           5920 &         56 \\
 wife                & True        & 1            &       0 &           5976 &         57 \\
 montague            & False       & 3            &       0 &           5976 &         57 \\
 romeo               & False       & 3            &       0 &           5976 &         57 \\
 son                 & True        & 1            &       0 &           6032 &         58 \\
 montague            & False       & 4            &       0 &           6032 &         58 \\
 benvolio            & True        & 1            &       0 &           6096 &         59 \\
 nephew              & True        & 1            &       0 &           6152 &         60 \\
 montague            & False       & 5            &       0 &           6152 &         60 \\
 friend              & False       & 2            &       0 &           6152 &         60 \\
 romeo               & False       & 4            &       0 &           6152 &         60 \\
 abram               & True        & 1            &       0 &           6208 &         61 \\
 servant             & True        & 1            &       0 &           6264 &         62 \\
 montague            & False       & 6            &       0 &           6264 &         62 \\
 balthasar           & True        & 1            &       0 &           6328 &         63 \\
 servant             & False       & 2            &       0 &           6328 &         63 \\
 romeo               & False       & 5            &       0 &           6328 &         63 \\
 capulet             & True        & 1            &       0 &           6384 &         64 \\
 head                & False       & 2            &       0 &           6384 &         64 \\
 veronese            & False       & 2            &       0 &           6384 &         64 \\
 family              & False       & 2            &       0 &           6384 &         64 \\
 feud                & False       & 2            &       0 &           6384 &         64 \\
 montagues           & True        & 1            &       0 &           6448 &         65 \\
 lady                & False       & 2            &       0 &           6448 &         65 \\
 capulet             & False       & 2            &       0 &           6448 &         65 \\
 wife                & False       & 2            &       0 &           6448 &         65 \\
 capulet             & False       & 3            &       0 &           6448 &         65 \\
 juliet              & False       & 3            &       0 &           6448 &         65 \\
 daughter            & True        & 1            &       0 &           6512 &         66 \\
 capulet             & False       & 4            &       0 &           6512 &         66 \\
 tybalt              & True        & 1            &       0 &           6568 &         67 \\
 nephew              & False       & 2            &       0 &           6568 &         67 \\
 lady                & False       & 3            &       0 &           6568 &         67 \\
 capulet             & False       & 5            &       0 &           6568 &         67 \\
 capulet’s           & False       & 10           &       0 &           6568 &         67 \\
 cousin              & True        & 1            &       0 &           6624 &         68 \\
 old                 & True        & 1            &       0 &           6680 &         69 \\
 man                 & True        & 1            &       0 &           6736 &         70 \\
 nurse               & True        & 1            &       0 &           6792 &         71 \\
 juliet              & False       & 4            &       0 &           6792 &         71 \\
 peter               & True        & 1            &       0 &           6848 &         72 \\
 servant             & False       & 3            &       0 &           6848 &         72 \\
 juliet’s            & False       & 4            &       0 &           6848 &         72 \\
 nurse               & False       & 2            &       0 &           6848 &         72 \\
 sampson             & True        & 1            &       0 &           6904 &         73 \\
 servant             & False       & 4            &       0 &           6904 &         73 \\
 capulet             & False       & 6            &       0 &           6904 &         73 \\
 gregory             & True        & 1            &       0 &           6960 &         74 \\
 servant             & False       & 5            &       0 &           6960 &         74 \\
 capulet             & False       & 7            &       0 &           6992 &         74 \\
 servants            & True        & 1            &       0 &           7056 &         75 \\
 friar               & False       & 6            &       0 &           7056 &         75 \\
 lawrence            & True        & 1            &       0 &           7120 &         76 \\
 franciscan          & True        & 1            &       0 &           7184 &         77 \\
 friar               & False       & 7            &       0 &           7184 &         77 \\
 john                & True        & 1            &       0 &           7240 &         78 \\
 order               & True        & 1            &       0 &           7296 &         79 \\
 apothecary          & True        & 1            &       0 &           7360 &         80 \\
 chorus              & False       & 2            &       0 &           7360 &         80 \\
 three               & True        & 1            &       0 &           7416 &         81 \\
 musicians           & True        & 1            &       0 &           7480 &         82 \\
 officer             & True        & 1            &       0 &           7536 &         83 \\
 citizens            & True        & 1            &       0 &           7600 &         84 \\
 verona              & False       & 2            &       0 &           7600 &         84 \\
 several             & True        & 1            &       0 &           7656 &         85 \\
 men                 & True        & 1            &       0 &          10136 &         86 \\
 women               & True        & 1            &       0 &          10192 &         87 \\
 relations           & True        & 1            &       0 &          10256 &         88 \\
 houses              & True        & 1            &       0 &          10312 &         89 \\
 maskers             & True        & 1            &       0 &          10368 &         90 \\
 guards              & True        & 1            &       0 &          10424 &         91 \\
 watchmen            & True        & 1            &       0 &          10488 &         92 \\
 attendants          & True        & 1            &       0 &          10552 &         93 \\
 scene               & False       & 25           &       0 &          10552 &         93 \\
 greater             & True        & 1            &       0 &          10608 &         94 \\
 part                & True        & 1            &       0 &          10664 &         95 \\
 play                & True        & 1            &       0 &          10720 &         96 \\
 verona              & False       & 3            &       0 &          10720 &         96 \\
 fifth               & True        & 1            &       0 &          10776 &         97 \\
 act                 & False       & 6            &       0 &          10776 &         97 \\
 mantua              & False       & 2            &       0 &          10776 &         97 \\
 prologue            & False       & 2            &       0 &          10776 &         97 \\
 enter               & True        & 1            &       0 &          10832 &         98 \\
 chorus              & False       & 3            &       0 &          10832 &         98 \\
 chorus              & False       & 4            &       0 &          10832 &         98 \\
 two                 & True        & 1            &       0 &          10888 &         99 \\
 households          & True        & 1            &       0 &          10952 &        100 \\
 alike               & True        & 1            &       0 &          11008 &        101 \\
 dignity             & True        & 1            &       0 &          11064 &        102 \\
 fair                & True        & 1            &       0 &          11120 &        103 \\
 verona              & False       & 4            &       0 &          11120 &        103 \\
 lay                 & True        & 1            &       0 &          11176 &        104 \\
 scene               & False       & 26           &       0 &          11176 &        104 \\
 ancient             & True        & 1            &       0 &          11232 &        105 \\
 grudge              & True        & 1            &       0 &          11288 &        106 \\
 break               & True        & 1            &       0 &          11344 &        107 \\
 new                 & True        & 1            &       0 &          11400 &        108 \\
 mutiny              & True        & 1            &       0 &          11456 &        109 \\
 civil               & True        & 1            &       0 &          11512 &        110 \\
 blood               & True        & 1            &       0 &          11568 &        111 \\
 makes               & True        & 1            &       0 &          11624 &        112 \\
 civil               & False       & 2            &       0 &          11624 &        112 \\
 hands               & True        & 1            &       0 &          11680 &        113 \\
 unclean             & True        & 1            &       0 &          11736 &        114 \\
 forth               & True        & 1            &       0 &          11792 &        115 \\
 fatal               & True        & 1            &       0 &          11848 &        116 \\
 loins               & True        & 1            &       0 &          11904 &        117 \\
 two                 & False       & 2            &       0 &          11904 &        117 \\
 foes                & True        & 1            &       0 &          11960 &        118 \\
 pair                & True        & 1            &       0 &          12016 &        119 \\
 starcross’d         & True        & 1            &       0 &          12112 &        120 \\
 lovers              & True        & 1            &       0 &          12168 &        121 \\
 take                & True        & 1            &       0 &          12224 &        122 \\
 life                & True        & 1            &       0 &          12280 &        123 \\
 whose               & True        & 1            &       0 &          12336 &        124 \\
 misadventur’d       & True        & 1            &       0 &          12440 &        125 \\
 piteous             & True        & 1            &       0 &          12496 &        126 \\
 overthrows          & True        & 1            &       0 &          12560 &        127 \\
 doth                & True        & 1            &       0 &          12616 &        128 \\
 death               & True        & 1            &       0 &          12672 &        129 \\
 bury                & True        & 1            &       0 &          12728 &        130 \\
 parents’            & True        & 1            &       0 &          12824 &        131 \\
 strife              & True        & 1            &       0 &          12880 &        132 \\
 fearful             & True        & 1            &       0 &          12936 &        133 \\
 passage             & True        & 1            &       0 &          12992 &        134 \\
 deathmark’d         & True        & 1            &       0 &          13088 &        135 \\
 love                & True        & 1            &       0 &          13144 &        136 \\
 continuance         & True        & 1            &       0 &          13208 &        137 \\
 parents’            & False       & 2            &       0 &          13208 &        137 \\
 rage                & True        & 1            &       0 &          13264 &        138 \\
 children’s          & True        & 1            &       0 &          13360 &        139 \\
 end                 & True        & 1            &       0 &          13416 &        140 \\
 nought              & True        & 1            &       0 &          13472 &        141 \\
 could               & True        & 1            &       0 &          13528 &        142 \\
 remove              & True        & 1            &       0 &          13584 &        143 \\
 two                 & False       & 3            &       0 &          13584 &        143 \\
 hours’              & True        & 1            &       0 &          13672 &        144 \\
 traffic             & True        & 1            &       0 &          13728 &        145 \\
 stage               & True        & 1            &       0 &          13784 &        146 \\
 patient             & True        & 1            &       0 &          13840 &        147 \\
 ears                & True        & 1            &       0 &          13896 &        148 \\
 attend              & True        & 1            &       0 &          13952 &        149 \\
 shall               & True        & 1            &       0 &          14008 &        150 \\
 miss                & True        & 1            &       0 &          14064 &        151 \\
 toil                & True        & 1            &       0 &          14120 &        152 \\
 shall               & False       & 2            &       0 &          14120 &        152 \\
 strive              & True        & 1            &       0 &          14176 &        153 \\
 mend                & True        & 1            &       0 &          14232 &        154 \\
 exit                & True        & 1            &       0 &          14288 &        155 \\
 act                 & False       & 7            &       0 &          14288 &        155 \\
 scene               & False       & 27           &       0 &          14288 &        155 \\
 public              & False       & 3            &       0 &          14288 &        155 \\
 place               & False       & 4            &       0 &          14288 &        155 \\
 enter               & False       & 2            &       0 &          14288 &        155 \\
 sampson             & False       & 2            &       0 &          14288 &        155 \\
 gregory             & False       & 2            &       0 &          14288 &        155 \\
 armed               & True        & 1            &       0 &          14344 &        156 \\
 swords              & True        & 1            &       0 &          14400 &        157 \\
 bucklers            & True        & 1            &       0 &          14464 &        158 \\
 sampson             & False       & 3            &       0 &          14464 &        158 \\
 gregory             & False       & 3            &       0 &          14464 &        158 \\
 word                & True        & 1            &       0 &          14520 &        159 \\
 we’ll               & True        & 1            &       0 &          14608 &        160 \\
 carry               & True        & 1            &       0 &          14664 &        161 \\
 coals               & True        & 1            &       0 &          14720 &        162 \\
 gregory             & False       & 4            &       0 &          14720 &        162 \\
 colliers            & True        & 1            &       0 &          14784 &        163 \\
 sampson             & False       & 4            &       0 &          14784 &        163 \\
 mean                & True        & 1            &       0 &          14840 &        164 \\
 choler              & True        & 1            &       0 &          14896 &        165 \\
 we’ll               & False       & 2            &       0 &          14896 &        165 \\
 draw                & True        & 1            &       0 &          14952 &        166 \\
 gregory             & False       & 5            &       0 &          14952 &        166 \\
 ay                  & True        & 1            &       0 &          15008 &        167 \\
 live                & True        & 1            &       0 &          15064 &        168 \\
 draw                & False       & 2            &       0 &          15064 &        168 \\
 neck                & True        & 1            &       0 &          15120 &        169 \\
 o’                  & True        & 1            &       0 &          15200 &        170 \\
 collar              & True        & 1            &       0 &          19872 &        171 \\
 sampson             & False       & 5            &       0 &          19872 &        171 \\
 strike              & True        & 1            &       0 &          19928 &        172 \\
 quickly             & True        & 1            &       0 &          19984 &        173 \\
 moved               & True        & 1            &       0 &          20040 &        174 \\
 gregory             & False       & 6            &       0 &          20040 &        174 \\
 thou                & True        & 1            &       0 &          20096 &        175 \\
 art                 & True        & 1            &       0 &          20152 &        176 \\
 quickly             & False       & 2            &       0 &          20152 &        176 \\
 moved               & False       & 2            &       0 &          20152 &        176 \\
 strike              & False       & 2            &       0 &          20152 &        176 \\
 sampson             & False       & 6            &       0 &          20152 &        176 \\
 dog                 & True        & 1            &       0 &          20208 &        177 \\
 house               & False       & 7            &       0 &          20208 &        177 \\
 montague            & False       & 7            &       0 &          20208 &        177 \\
 moves               & True        & 1            &       0 &          20264 &        178 \\
 gregory             & False       & 7            &       0 &          20264 &        178 \\
 move                & True        & 1            &       0 &          20320 &        179 \\
 stir                & True        & 1            &       0 &          20376 &        180 \\
 valiant             & True        & 1            &       0 &          20432 &        181 \\
 stand               & True        & 1            &       0 &          20488 &        182 \\
 therefore           & True        & 1            &       0 &          20552 &        183 \\
 thou                & False       & 2            &       0 &          20552 &        183 \\
 art                 & False       & 2            &       0 &          20552 &        183 \\
 moved               & False       & 3            &       0 &          20552 &        183 \\
 thou                & False       & 3            &       0 &          20552 &        183 \\
 runn’st             & True        & 1            &       0 &          20640 &        184 \\
 away                & True        & 1            &       0 &          20696 &        185 \\
 sampson             & False       & 7            &       0 &          20696 &        185 \\
 dog                 & False       & 2            &       0 &          20696 &        185 \\
 house               & False       & 8            &       0 &          20728 &        185 \\
 shall               & False       & 3            &       0 &          20728 &        185 \\
 move                & False       & 2            &       0 &          20728 &        185 \\
 stand               & False       & 2            &       0 &          20728 &        185 \\
 take                & False       & 2            &       0 &          20728 &        185 \\
 wall                & True        & 1            &       0 &          20784 &        186 \\
 man                 & False       & 2            &       0 &          20784 &        186 \\
 maid                & True        & 1            &       0 &          20840 &        187 \\
 montague’s          & True        & 1            &       0 &          20936 &        188 \\
 gregory             & False       & 8            &       0 &          20936 &        188 \\
 shows               & True        & 1            &       0 &          20992 &        189 \\
 thee                & True        & 1            &       0 &          21048 &        190 \\
 weak                & True        & 1            &       0 &          21104 &        191 \\
 slave               & True        & 1            &       0 &          21160 &        192 \\
 weakest             & True        & 1            &       0 &          21216 &        193 \\
 goes                & True        & 1            &       0 &          21272 &        194 \\
 wall                & False       & 2            &       0 &          21272 &        194 \\
 sampson             & False       & 8            &       0 &          21272 &        194 \\
 true                & True        & 1            &       0 &          21328 &        195 \\
 therefore           & False       & 2            &       0 &          21328 &        195 \\
 women               & False       & 2            &       0 &          21328 &        195 \\
 weaker              & True        & 1            &       0 &          21384 &        196 \\
 vessels             & True        & 1            &       0 &          21440 &        197 \\
 ever                & True        & 1            &       0 &          21496 &        198 \\
 thrust              & True        & 1            &       0 &          21552 &        199 \\
 wall                & False       & 3            &       0 &          21552 &        199 \\
 therefore           & False       & 3            &       0 &          21552 &        199 \\
 push                & True        & 1            &       0 &          21608 &        200 \\
 montague’s          & False       & 2            &       0 &          21608 &        200 \\
 men                 & False       & 2            &       0 &          21608 &        200 \\
 wall                & False       & 4            &       0 &          21608 &        200 \\
 thrust              & False       & 2            &       0 &          21608 &        200 \\
 maids               & True        & 1            &       0 &          21664 &        201 \\
 wall                & False       & 5            &       0 &          21664 &        201 \\
 gregory             & False       & 9            &       0 &          21696 &        201 \\
 quarrel             & True        & 1            &       0 &          21752 &        202 \\
 masters             & True        & 1            &       0 &          21808 &        203 \\
 us                  & True        & 1            &       0 &          21864 &        204 \\
 men                 & False       & 3            &       0 &          21864 &        204 \\
