fixed_prob_counter memory usage
\begin{tabular}{llrl}
\hline
 Current Word             & Current Word Count   &   Memory Usage & \# Distinct Words   \\
\hline
                          &                      &             64 &                    \\
 romeo                    & 0                    &             64 & 0                  \\
 julia                    & 0                    &             64 & 0                  \\
 william                  & 1                    &            320 & 1                  \\
 shakespeare              & 0                    &            320 & 1                  \\
 übersetzt                & 1                    &            408 & 2                  \\
 august                   & 0                    &            408 & 2                  \\
 wilhelm                  & 0                    &            408 & 2                  \\
 schlegel                 & 1                    &            472 & 3                  \\
 personen                 & 1                    &            536 & 4                  \\
 escalus                  & 0                    &            536 & 4                  \\
 prinz                    & 1                    &            592 & 5                  \\
 verona                   & 1                    &            776 & 6                  \\
 graf                     & 1                    &            832 & 7                  \\
 paris                    & 0                    &            832 & 7                  \\
 junger                   & 0                    &            832 & 7                  \\
 edelmann                 & 1                    &            896 & 8                  \\
 verwandter               & 1                    &            960 & 9                  \\
 prinzen                  & 1                    &           1016 & 10                 \\
 montague                 & 1                    &           1360 & 11                 \\
 capulet                  & 1                    &           1416 & 12                 \\
 häupter                  & 0                    &           1416 & 12                 \\
 zweier                   & 0                    &           1416 & 12                 \\
 häuser                   & 0                    &           1416 & 12                 \\
 zwist                    & 0                    &           1416 & 12                 \\
 miteinander              & 0                    &           1416 & 12                 \\
 andrer                   & 0                    &           1416 & 12                 \\
 capulet                  & 2                    &           1448 & 12                 \\
 vorigen                  & 0                    &           1448 & 12                 \\
 verwandter               & 2                    &           1448 & 12                 \\
 alter                    & 0                    &           1448 & 12                 \\
 mann                     & 0                    &           1448 & 12                 \\
 onkel                    & 0                    &           1448 & 12                 \\
 capulet                  & 2                    &           1448 & 12                 \\
 romeo                    & 0                    &           1448 & 12                 \\
 montagues                & 0                    &           1448 & 12                 \\
 sohn                     & 0                    &           1448 & 12                 \\
 mercutio                 & 1                    &           1512 & 13                 \\
 verwandter               & 3                    &           1544 & 13                 \\
 prinzen                  & 1                    &           1544 & 13                 \\
 romeos                   & 0                    &           1544 & 13                 \\
 freund                   & 0                    &           1544 & 13                 \\
 benvolio                 & 0                    &           1544 & 13                 \\
 montagues                & 1                    &           1608 & 14                 \\
 neffe                    & 0                    &           1608 & 14                 \\
 romeos                   & 1                    &           1664 & 15                 \\
 freund                   & 1                    &           1720 & 16                 \\
 tybalt                   & 1                    &           1776 & 17                 \\
 neffe                    & 1                    &           1832 & 18                 \\
 gräfin                   & 1                    &           1912 & 19                 \\
 capulet                  & 3                    &           1880 & 19                 \\
 bruder                   & 1                    &           1936 & 20                 \\
 lorenzo                  & 0                    &           1936 & 20                 \\
 franziskaner             & 1                    &           2000 & 21                 \\
 bruder                   & 1                    &           2000 & 21                 \\
 markus                   & 1                    &           2592 & 22                 \\
 orden                    & 1                    &           2648 & 23                 \\
 abraham                  & 1                    &           2704 & 24                 \\
 diener                   & 0                    &           2704 & 24                 \\
 hause                    & 1                    &           2760 & 25                 \\
 montague                 & 2                    &           2792 & 25                 \\
 balthasar                & 0                    &           2792 & 25                 \\
 romeos                   & 1                    &           2792 & 25                 \\
 diener                   & 0                    &           2792 & 25                 \\
 simson                   & 1                    &           2848 & 26                 \\
 gregorio                 & 0                    &           2848 & 26                 \\
 peter                    & 0                    &           2848 & 26                 \\
 diener                   & 1                    &           2904 & 27                 \\
 hause                    & 2                    &           2904 & 27                 \\
 capulet                  & 4                    &           2936 & 27                 \\
 simson                   & 2                    &           2936 & 27                 \\
 diener                   & 1                    &           2936 & 27                 \\
 capulet                  & 5                    &           2936 & 27                 \\
 gregorio                 & 0                    &           2936 & 27                 \\
 diener                   & 1                    &           2936 & 27                 \\
 capulet                  & 6                    &           2936 & 27                 \\
 peter                    & 1                    &           2992 & 28                 \\
 diener                   & 2                    &           2992 & 28                 \\
 julias                   & 0                    &           2992 & 28                 \\
 amme                     & 1                    &           3048 & 29                 \\
 drei                     & 1                    &           3104 & 30                 \\
 musikanten               & 1                    &           3168 & 31                 \\
 page                     & 1                    &           3224 & 32                 \\
 paris                    & 0                    &           3224 & 32                 \\
 weiterer                 & 0                    &           3224 & 32                 \\
 page                     & 2                    &           3224 & 32                 \\
 apotheker                & 1                    &           3288 & 33                 \\
 chorus                   & 0                    &           3288 & 33                 \\
 offizier                 & 1                    &           3352 & 34                 \\
 gräfin                   & 1                    &           3352 & 34                 \\
 montague                 & 3                    &           3352 & 34                 \\
 ehefrau                  & 1                    &           3408 & 35                 \\
 montague                 & 3                    &           3408 & 35                 \\
 gräfin                   & 1                    &           3408 & 35                 \\
 capulet                  & 7                    &           3408 & 35                 \\
 ehefrau                  & 1                    &           3408 & 35                 \\
 capulet                  & 8                    &           3408 & 35                 \\
 julia                    & 0                    &           3408 & 35                 \\
 capulets                 & 1                    &           3472 & 36                 \\
